GEMM_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.8683233060293944,0.17343396900596403,0.04,24.6,2.0,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.9243839099510289,0.04517006312395987,0.03,49.2,5.116817192534651,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.9002896799759543,0.18780029139435264,0.02,74.04,7.00204876223287,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.9238676016011089,0.11272860110836917,0.02,99.43,4.060788100849391,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9439344128832242,0.0661279863014671,0.1,143.13,26.64455712227967,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9653840216868785,0.0256638325004616,0.11,184.97,45.128649996482835,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9648750766638876,0.034853880814579,0.04,309.61,93.96839088144739,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9368372267200324,0.028104012036432407,0.0,600,0.0,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.9463942943690206,0.025476911320661762,0.01,799.24,7.6,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9528832434403722,0.022643753661102616,0.05,980.86,107.22062782087704,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9770084591294518,0.02109005474684071,0.29,1771.01,468.14138188622405,method=SLSQP; iterations=1000000; temperature=0.1,2000
