MI50_GEMM_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.8407223289487432,0.1630917297284559,0.08,24.29,2.6258043500703714,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.8558783317257493,0.15547262564203954,0.06,47.96,8.154963785537882,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.9259092467176291,0.07858884555122307,0.02,73.86,8.031528780092525,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.9313841624446881,0.08218461019074098,0.12,92.45,22.83377570905244,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9336323891819269,0.11749446597346395,0.08,143.72,26.478914805802166,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9562878696010083,0.06126488702585439,0.06,191.89,30.556420740735465,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9620653900890309,0.09207302718453224,0.13,291.56,106.09413772968826,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9170572531210344,0.06816490346196785,0.02,594,43.272451403925,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.951596145244413,0.054088861028410644,0.03,794.56,37.032696445986836,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9656303196178269,0.03616029650701411,0.08,978.85,98.57288489419206,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9887337449877249,0.009766881638721563,0.3,1820.34,334.775794715318,method=SLSQP; iterations=1000000; temperature=0.1,2000
