GEMM_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.4382112027941604,0.3429497216465673,0.0,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.6916110765789916,0.2719947264500393,0.01,50,0.0,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.8360843413750394,0.1728217700469603,0.0,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.910012558477101,0.09315318152003808,0.04,100,0.0,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.9355717373970188,0.05391834058398021,0.09,149.33,3.3905841098637572,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9413270655516058,0.052191168998782664,0.09,195.67,18.72019111963218,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9764478516769751,0.027138843962488893,0.05,387.25,57.44481321804925,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9854648584704851,0.018585842414443908,0.1,567.98,115.15759776598469,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9903742817028377,0.014160445922473872,0.09,776.42,95.01761452860764,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.9916872073467216,0.012552480521487663,0.19,890.83,264.92026835608215,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,0.997712980378946,0.003519919641995151,0.35,1632.04,594.892247606763,walksize=0.02; no_improve=10; iterations=100000,2000
