GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.42165645233450044,0.29676105030651406,0.0,25,0.0,iterations=10000,25
BestMLS,0.6633028469501601,0.24887530079584594,0.0,50,0.0,iterations=10000,50
BestMLS,0.8022352018059552,0.1570764633361773,0.01,74.67,3.3000000000000003,iterations=10000,75
BestMLS,0.8691304799209093,0.1327900227592582,0.08,99.97,0.22270150335361366,iterations=10000,100
BestMLS,0.9243818376377635,0.07481226711294875,0.16,145.99,12.967321008651483,iterations=10000,150
BestMLS,0.9570204880744286,0.055748890230267314,0.34,185.77,29.798262779002144,iterations=10000,200
BestMLS,0.9806292992593016,0.032914861675138345,0.54,304.06,113.05695534338058,iterations=10000,400
BestMLS,0.9903007010692413,0.020981558800450714,0.7,387.17,184.68499280032626,iterations=10000,600
BestMLS,0.9956808206711477,0.010674951703602352,0.82,385.34,259.21030890461174,iterations=10000,800
BestMLS,0.998411594259643,0.00570008146405553,0.91,471.02,283.63794605878184,iterations=10000,1000
BestMLS,1.0,0.0,1.0,442.13,374.7076073555233,iterations=10000,2000
