GEMM_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.43463649324909087,0.32313704084955946,0.0,25,0.0,iterations=10000,25
BestMLS,0.6919892092041775,0.28537382818919216,0.02,49.93,0.7,iterations=10000,50
BestMLS,0.8510672511594398,0.11414169383335353,0.0,75,0.0,iterations=10000,75
BestMLS,0.8957184499268218,0.07591284343198373,0.02,100,0.0,iterations=10000,100
BestMLS,0.9398993357188403,0.05572050079708145,0.12,147.96,8.179698939904497,iterations=10000,150
BestMLS,0.9457091331175537,0.05377863856371393,0.09,193.31,23.757909900247597,iterations=10000,200
BestMLS,0.9756253302623522,0.028836569421103346,0.21,375.48,66.84468353707508,iterations=10000,400
BestMLS,0.9853520911049926,0.020483049214205018,0.3,512.5,159.58617570061472,iterations=10000,600
BestMLS,0.9921000647901956,0.013576187415963909,0.39,641.09,239.28445922007225,iterations=10000,800
BestMLS,0.99323083992348,0.011633609484575078,0.48,776.62,303.4212919424746,iterations=10000,1000
BestMLS,0.9989513991245746,0.002615184487714788,0.86,972.26,650.3245439972665,iterations=10000,2000
