GEMM_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.674160235705874,0.32519060762314805,0.0,27.68,0.6945676658355486,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,25
Genetic local search,0.8329843341612606,0.2452023349310785,0.01,52.33,0.8415353933031089,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,50
Genetic local search,0.8975955253721013,0.20773600763115094,0.01,76.18,1.095260681114756,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,75
Genetic local search,0.9729915848254439,0.04365540265896342,0.04,101.31,1.0889249633273983,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,100
Genetic local search,0.9922896995336002,0.005544032943761127,0.07,152.8,1.0730867399773196,pop_size=6; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,150
Genetic local search,0.9722134008626255,0.1403032966434507,0.05,195.25,16.695354098815887,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament8_selection at 0x7f5cba8b13a0>; nbour_methodHamming,200
Genetic local search,0.9956608264190129,0.0031673824706681597,0.14,402.14,1.4426406764028668,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament4_selection at 0x7f5cba8b1310>; nbour_methodHamming,400
Genetic local search,0.997095439832182,0.0031482313350696483,0.25,597.46,29.62916253840585,pop_size=20; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodadjacent,600
Genetic local search,0.9981936587281606,0.0027685289503344185,0.44,739.98,113.23453626001302,pop_size=20; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,800
Genetic local search,0.9988596719080899,0.002141488324604237,0.44,908.2,156.05871725835513,pop_size=24; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,1000
Genetic local search,0.9999032858773352,0.00022271627326839172,0.84,1575.03,350.1295995265845,pop_size=50; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,2000
