GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5438130344788139,0.2991354416416521,0.0,27.6,0.7385489458759964,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,25
Genetic local search,0.7468746902109408,0.2530378241194116,0.03,52.23,0.7365631354644709,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,50
Genetic local search,0.8438571451608773,0.172415748886763,0.12,76.27,1.0430627008860964,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,75
Genetic local search,0.9001301508506784,0.12656682749772818,0.24,100.9,1.2831463854387957,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,100
Genetic local search,0.9488390106133564,0.06405217497526003,0.34,152.76,0.9224473377429688,pop_size=6; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,150
Genetic local search,0.9516096219179505,0.1070574482045972,0.41,193.71,17.972085538018636,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament8_selection at 0x7f5cba8b13a0>; nbour_methodHamming,200
Genetic local search,0.9895154422043013,0.022287334599457687,0.68,401.23,5.667299429912172,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament4_selection at 0x7f5cba8b1310>; nbour_methodHamming,400
Genetic local search,0.9975006331862781,0.007259482599404744,0.89,562.61,52.28803192728029,pop_size=20; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodadjacent,600
Genetic local search,0.9991522766296544,0.004190695702084515,0.96,588.39,96.45765229813904,pop_size=20; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,800
Genetic local search,0.9995575476809794,0.003112769184454403,0.98,726.58,128.4947964988183,pop_size=24; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,1000
Genetic local search,1.0,0.0,1.0,1316.09,107.45674205996296,pop_size=50; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,2000
