GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5444712347147971,0.30735589687109904,0.0,27.61,0.7771353768420236,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,25
Genetic local search,0.7466271893499338,0.23389144443075877,0.02,51.91,0.9959006887326576,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,50
Genetic local search,0.8363596060751062,0.16196502559189438,0.05,76.47,0.9995453511926856,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,75
Genetic local search,0.8601479388605437,0.17088704263515936,0.1,100.78,1.7614273367432058,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,100
Genetic local search,0.9124383810657085,0.11413442618947768,0.2,152.56,1.4724404259870103,pop_size=6; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,150
Genetic local search,0.8981334365615328,0.19388284072975007,0.25,192,23.452509503680027,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament8_selection at 0x7f5cba8b13a0>; nbour_methodHamming,200
Genetic local search,0.9691841776170771,0.04264024122758528,0.48,401.68,2.881077239611264,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament4_selection at 0x7f5cba8b1310>; nbour_methodHamming,400
Genetic local search,0.9933016007228628,0.02075479297048553,0.75,571.41,48.38233566127626,pop_size=20; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodadjacent,600
Genetic local search,0.9960201070331904,0.014520621911976206,0.87,634.41,119.30421982766103,pop_size=20; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,800
Genetic local search,0.9982722958293012,0.010762808925860358,0.93,781.63,161.98993951801606,pop_size=24; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,1000
Genetic local search,1.0,0.0,1.0,1337.75,177.65995069460106,pop_size=50; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,2000
