GEMM_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5905485421696284,0.3214701898679403,0.0,27.64,0.6893123494842633,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,25
Genetic local search,0.7850102359320577,0.2585775180384435,0.01,52.23,0.9519252156349343,pop_size=4; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,50
Genetic local search,0.8855979405716478,0.16875754750412605,0.05,76.37,1.1160446028522137,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,75
Genetic local search,0.9263515189666652,0.11000364780218688,0.05,101.12,1.451436070471816,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,100
Genetic local search,0.9380327130646461,0.10579550310606338,0.06,152.73,1.4964942196664006,pop_size=6; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodHamming,150
Genetic local search,0.9491940122106975,0.13999474630956507,0.15,194.83,17.32870276142849,pop_size=4; reproductor=<function twopoint_crossover at 0x7f5cba8aa790>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament8_selection at 0x7f5cba8b13a0>; nbour_methodHamming,200
Genetic local search,0.9874764787701187,0.01660792117136709,0.28,402.27,1.3696198691091577,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function tournament4_selection at 0x7f5cba8b1310>; nbour_methodHamming,400
Genetic local search,0.9938481711134458,0.008981421906014253,0.34,600.96,22.064148899666776,pop_size=20; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function select_best_half at 0x7f5cba8b11f0>; nbour_methodadjacent,600
Genetic local search,0.9958319736126499,0.008451930370358506,0.42,752.12,101.61208470243959,pop_size=20; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,800
Genetic local search,0.9982667267146998,0.003444308888720059,0.62,905.13,148.54980153252825,pop_size=24; reproductor=<function uniform_crossover at 0x7f5cba8aa670>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,1000
Genetic local search,0.9996889757415351,0.001452169632003581,0.88,1634.31,340.3881532140695,pop_size=50; reproductor=<function onepoint_crossover at 0x7f5cba8aa700>; hillclimber=<function RandomGreedyHillclimb at 0x7f5cb6ec8a60>; selector=<function RTS at 0x7f5cba8b1160>; nbour_methodadjacent,2000
