GEMM_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.7832495931788761,0.14138797668626932,0.0,27.91,1.7757911880157373,pop_size=10; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,25
Genetic algorithm,0.8763253527944816,0.09926738032541117,0.01,52.44,4.168956946311873,pop_size=14; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,50
Genetic algorithm,0.9294251597806319,0.11372052618747452,0.0,73.16,9.893085025063279,pop_size=16; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,75
Genetic algorithm,0.9515146489262875,0.044782658412422065,0.01,96.97,11.964134112024366,pop_size=20; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,100
Genetic algorithm,0.9379744928067553,0.19424965442281641,0.04,144.24,26.511716487453448,pop_size=12; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.02,150
Genetic algorithm,0.9858701387987702,0.016045100282515618,0.08,180.74,27.969904460965818,pop_size=32; reproductor=<function uniform_crossover at 0x7ffb96cbe670>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,200
Genetic algorithm,0.9956746734553843,0.00426365996332215,0.25,341.83,64.79323056672455,pop_size=24; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,400
Genetic algorithm,0.9971940510955861,0.003664349192532906,0.38,524.92,87.90992635371248,pop_size=40; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,600
Genetic algorithm,0.9976568764577637,0.003153161331442969,0.36,682.07,116.47952566434111,pop_size=50; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,800
Genetic algorithm,0.9968830006022125,0.003596188648446965,0.26,917.42,108.77148504822374,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function tournament4_selection at 0x7ffb96cc5310>; mutation=0.05,1000
Genetic algorithm,0.9996798283519172,0.0010732841023820576,0.7,1734.3,269.6072526974575,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,2000
