GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6977069013413758,0.13463814591592316,0.0,27.71,1.4653920080898957,pop_size=10; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,25
Genetic algorithm,0.7669514468335453,0.1710989223320887,0.01,51.94,5.620704869704798,pop_size=14; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,50
Genetic algorithm,0.8605854817131656,0.08472669239159358,0.02,74.86,8.396752619045921,pop_size=16; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,75
Genetic algorithm,0.9111448716116815,0.06604738461817228,0.06,99.85,10.761298971571952,pop_size=20; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,100
Genetic algorithm,0.9276537332345396,0.1119689491761051,0.1,147.18,17.60416617357001,pop_size=12; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.02,150
Genetic algorithm,0.971114202172262,0.03729875187137522,0.26,186.36,24.837866171625855,pop_size=32; reproductor=<function uniform_crossover at 0x7ffb96cbe670>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,200
Genetic algorithm,0.9909477563063493,0.016898153810679044,0.57,338.87,61.08904826711428,pop_size=24; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,400
Genetic algorithm,0.9946804489928784,0.013971189365765777,0.72,524.59,84.19831028319662,pop_size=40; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,600
Genetic algorithm,0.9976444627458014,0.011884145504941908,0.9,637.2,106.61106505386387,pop_size=50; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,800
Genetic algorithm,0.9963461142769308,0.007931058347940832,0.75,895.64,140.3896827772719,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function tournament4_selection at 0x7ffb96cc5310>; mutation=0.05,1000
Genetic algorithm,0.9999374305429157,0.00030807071049096784,0.96,1590.22,322.15999475760833,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,2000
