GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6145220095231954,0.19438540566807844,0.0,27.42,2.04089503043457,pop_size=10; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,25
Genetic algorithm,0.7747560228828484,0.13591456074512484,0.0,52.89,4.396727433127066,pop_size=14; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,50
Genetic algorithm,0.8228490539201193,0.09505990484114196,0.0,72.54,9.496857534484922,pop_size=16; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,75
Genetic algorithm,0.8794958445308105,0.073538407027214,0.02,97.88,11.816167660532674,pop_size=20; reproductor=<function onepoint_crossover at 0x7ffb96cbe700>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,100
Genetic algorithm,0.9189162330007178,0.11282722688072432,0.09,145.84,18.381325613598474,pop_size=12; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.02,150
Genetic algorithm,0.9367656196443388,0.06342256695510805,0.14,188.49,24.426552451102562,pop_size=32; reproductor=<function uniform_crossover at 0x7ffb96cbe670>; selector=<function tournament8_selection at 0x7ffb96cc53a0>; mutation=0.02,200
Genetic algorithm,0.9723051191264352,0.04759554071153281,0.45,348.48,60.877502437520405,pop_size=24; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,400
Genetic algorithm,0.9846780264247871,0.035413993416566265,0.65,534.63,76.77076661113009,pop_size=40; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,600
Genetic algorithm,0.9912392531682221,0.029891443522558295,0.85,640.94,115.98770572258026,pop_size=50; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,800
Genetic algorithm,0.9950612822851329,0.015750098571419627,0.69,926.36,98.64870024793059,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function tournament4_selection at 0x7ffb96cc5310>; mutation=0.05,1000
Genetic algorithm,0.9996995317489192,0.0012003753713126105,0.94,1684.25,272.71572408208544,pop_size=160; reproductor=<function twopoint_crossover at 0x7ffb96cbe790>; selector=<function select_best_half at 0x7ffb96cc51f0>; mutation=0.05,2000
