GEMM_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyILS,0.5895655900642168,0.40139916252358415,0.0,25,0.0,walksize=0.5; no_improve=100; iterations=100000,25
RandomGreedyILS,0.8114531898635295,0.3176076480630878,0.02,49.88,1.2,walksize=0.5; no_improve=100; iterations=100000,50
RandomGreedyILS,0.9554407674082318,0.07957100830434616,0.02,74.7,2.185812841434,walksize=0.02; no_improve=100; iterations=100000,75
RandomGreedyILS,0.9565499497496786,0.1340993050200456,0.05,99.3,4.284102631069353,walksize=0.02; no_improve=25; iterations=100000,100
RandomGreedyILS,0.9801278266929664,0.10055342731134004,0.06,146.64,16.05201142246886,walksize=0.5; no_improve=10; iterations=100000,150
RandomGreedyILS,0.9942622094568818,0.004488099482268381,0.08,193.17,27.130829681230153,walksize=0.02; no_improve=50; iterations=100000,200
RandomGreedyILS,0.9962229128894617,0.003405025664020134,0.17,365.59,88.02766954804953,walksize=0.1; no_improve=5; iterations=100000,400
RandomGreedyILS,0.9969513699154722,0.003277466379694812,0.31,523.92,149.21590891975117,walksize=0.05; no_improve=5; iterations=100000,600
RandomGreedyILS,0.9979519778199607,0.002886419520497421,0.37,671.2,221.3017045674173,walksize=0.05; no_improve=5; iterations=100000,800
RandomGreedyILS,0.9985788548404132,0.002356469103916437,0.42,769.19,333.6821415901091,walksize=0.05; no_improve=5; iterations=100000,1000
RandomGreedyILS,0.9997786973161609,0.0008423255997284728,0.8,1188.25,686.988426747386,walksize=0.05; no_improve=5; iterations=100000,2000
