GEMM_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.579985116280084,0.4011530741249634,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.8484112462956236,0.2604422771050482,0.03,49.86,1.2145581563480257,iterations=10000,50
RandomGreedyMLS,0.9187394038078058,0.2104456078524548,0.02,75,0.0,iterations=10000,75
RandomGreedyMLS,0.9704089284074081,0.05406564559842209,0.03,98.55,8.602765587738386,iterations=10000,100
RandomGreedyMLS,0.9910116503994779,0.009457916809862875,0.04,148.25,9.455237445538591,iterations=10000,150
RandomGreedyMLS,0.9914733686760309,0.01077699699348017,0.06,195.08,23.791467785614643,iterations=10000,200
RandomGreedyMLS,0.9966469910966251,0.0034747405594409285,0.13,379.01,63.17452097966474,iterations=10000,400
RandomGreedyMLS,0.9979809181095732,0.0025293689733120487,0.21,539.99,139.53331270178944,iterations=10000,600
RandomGreedyMLS,0.9985313253234468,0.0022093926284847995,0.29,698.86,202.7335425945329,iterations=10000,800
RandomGreedyMLS,0.9990296447686572,0.001680096837120364,0.34,817.21,296.47171991114215,iterations=10000,1000
RandomGreedyMLS,0.9997061269246749,0.00047893452408021865,0.57,1328.11,739.0656658814888,iterations=10000,2000
