GEMM_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.6111414131954047,0.3501946388143566,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.7563523617927971,0.2889733808466291,0.02,49.95,0.5,iterations=10000,50
RandomGreedyMLS,0.8518357969672494,0.20584028250497663,0.11,73.98,5.193196792852446,iterations=10000,75
RandomGreedyMLS,0.9074038883488099,0.14517902201100025,0.09,98.11,7.85717840737071,iterations=10000,100
RandomGreedyMLS,0.9298209529981888,0.06317547623901004,0.15,142.99,22.152590654983737,iterations=10000,150
RandomGreedyMLS,0.9523122479378003,0.04440913553349488,0.19,186.32,36.181886198606186,iterations=10000,200
RandomGreedyMLS,0.9787108580549148,0.030452651901463887,0.33,341.48,103.39709469767122,iterations=10000,400
RandomGreedyMLS,0.9877410526993226,0.02308112287621697,0.44,475.46,182.4827884508785,iterations=10000,600
RandomGreedyMLS,0.9944804082268661,0.014407913407137969,0.56,543.59,286.99646620849114,iterations=10000,800
RandomGreedyMLS,0.9950094470895565,0.013379105552678388,0.59,689.47,335.09469353656385,iterations=10000,1000
RandomGreedyMLS,0.9998169974586488,0.0014471208257044888,0.95,745.97,546.4149171803161,iterations=10000,2000
