GEMM_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.7016386468509562,0.1402318924209738,0.0,25,0.0,NA,25
Random sampling,0.7810075242346963,0.09553971140383069,0.0,50,0.0,NA,50
Random sampling,0.8013979002298448,0.0870968928687044,0.0,75,0.0,NA,75
Random sampling,0.8166367254864715,0.06743962707429302,0.0,100,0.0,NA,100
Random sampling,0.8536676078893677,0.055758042292288715,0.0,150,0.0,NA,150
Random sampling,0.8750505668371482,0.04237981430931257,0.0,200,0.0,NA,200
Random sampling,0.8998816562254678,0.04263632566822436,0.0,400,0.0,NA,400
Random sampling,0.9146044281862747,0.03763302304745416,0.01,600,0.0,NA,600
Random sampling,0.9228295812727346,0.03606006419012195,0.0,800,0.0,NA,800
Random sampling,0.9324293883988458,0.03134283270443146,0.0,1000,0.0,NA,1000
Random sampling,0.9465372089273858,0.026946545532793967,0.02,2000,0.0,NA,2000
