GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6499100088287896,0.1585955183090656,0.0,25,0.0,NA,25
Random sampling,0.7331358543247185,0.08593575200005507,0.0,50,0.0,NA,50
Random sampling,0.7733088334213014,0.09650582824644156,0.0,75,0.0,NA,75
Random sampling,0.7897904283922371,0.0739212686368403,0.02,100,0.0,NA,100
Random sampling,0.8123963833299568,0.07087749582871868,0.0,150,0.0,NA,150
Random sampling,0.8269559588140324,0.06464080755344197,0.0,200,0.0,NA,200
Random sampling,0.8756496369350971,0.05423442021026581,0.01,400,0.0,NA,400
Random sampling,0.8918157754017353,0.05177009332701834,0.0,600,0.0,NA,600
Random sampling,0.8965034920763896,0.043457961614917814,0.0,800,0.0,NA,800
Random sampling,0.904429795267887,0.04352370217495129,0.0,1000,0.0,NA,1000
Random sampling,0.9335228997920137,0.03236972992482887,0.0,2000,0.0,NA,2000
