GEMM_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6888194064946689,0.16368561894308514,0.0,25,0.0,NA,25
Random sampling,0.7720504597976544,0.10335266930085393,0.0,50,0.0,NA,50
Random sampling,0.819258400414458,0.08029695930007141,0.0,75,0.0,NA,75
Random sampling,0.839797580594983,0.07442966895200372,0.0,100,0.0,NA,100
Random sampling,0.8529456616046038,0.06574030736531246,0.0,150,0.0,NA,150
Random sampling,0.8747925633522631,0.05680949216725943,0.0,200,0.0,NA,200
Random sampling,0.9240624906384334,0.050544991932192994,0.01,400,0.0,NA,400
Random sampling,0.9322319231389168,0.038051448738578346,0.01,600,0.0,NA,600
Random sampling,0.9406559138444177,0.04121023231597185,0.01,800,0.0,NA,800
Random sampling,0.9458219887585654,0.03582153125879702,0.01,1000,0.0,NA,1000
Random sampling,0.9707705423160837,0.023456143139993755,0.02,2000,0.0,NA,2000
