MI50_GEMM_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6424183379355487,0.15968536039714334,0.0,25,0.0,NA,25
Random sampling,0.7168607524164752,0.11056155674062455,0.0,50,0.0,NA,50
Random sampling,0.7633269316532834,0.08130031740125512,0.0,75,0.0,NA,75
Random sampling,0.7802360169585535,0.07959873437783935,0.0,100,0.0,NA,100
Random sampling,0.8012252045323722,0.07027653238478179,0.01,150,0.0,NA,150
Random sampling,0.8321261104524262,0.07786095409342556,0.0,200,0.0,NA,200
Random sampling,0.870091679548239,0.0672113813428023,0.0,400,0.0,NA,400
Random sampling,0.8871299121838159,0.06751323893800099,0.0,600,0.0,NA,600
Random sampling,0.907040084673392,0.06423235357537728,0.01,800,0.0,NA,800
Random sampling,0.9238853695258742,0.05393882808150273,0.01,1000,0.0,NA,1000
Random sampling,0.9483968559042579,0.041517194120983564,0.04,2000,0.0,NA,2000
