convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.7047882555766654,0.21412457768402737,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.7852086147370199,0.14807718618757482,0.02,49.56,3.2977494621562013,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.7973064613047162,0.15946801804144717,0.02,74.82,1.6104457002753472,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.8461190685311828,0.06937219650571311,0.03,97.1,13.541928901889802,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.8297750052227877,0.11861568995155675,0.02,143.3,17.049245369715567,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.8717596802200516,0.05090056324084821,0.11,166.28,43.82911720707497,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.8742145304913788,0.07145894940055411,0.15,233.07,90.8792355521626,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.892058001669833,0.04822025713450379,0.14,561.6,117.42076632196012,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.8930926251429281,0.05529989541573489,0.19,708.2,215.68191131545285,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.8952167262776725,0.04679865787753538,0.14,905.78,255.91770220723362,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9057272312942447,0.05046477674751601,0.2,1743.11,565.5367325458054,method=SLSQP; iterations=1000000; temperature=0.1,2000
