convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.5091782798482213,0.2858438635734594,0.03,24.82,1.5267315058349622,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.6986623135857757,0.2857717512630954,0.07,49.36,3.056769272260892,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.8027707256467475,0.2220921815171708,0.09,72.41,10.12357484670152,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.8705544517418801,0.17922089332375124,0.22,91.58,19.63103088829962,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9137992153408608,0.14292649233422247,0.32,129.47,32.10917455975925,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9455131997338011,0.1087133845124803,0.38,151.3,51.61522365670145,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9569114329851173,0.09151149561874627,0.49,176.71,97.72671594861362,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9962879811941882,0.021287975621132736,0.9,266.16,175.13906278478058,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.9813684247355196,0.0413248665693503,0.82,320.32,267.84775865812617,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9952576557529723,0.02173040249574894,0.92,315.87,282.1485265070527,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9838257462226461,0.03868217363867376,0.81,526.72,600.3739925322307,method=SLSQP; iterations=1000000; temperature=0.1,2000
