convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.601062581214279,0.2525045733612928,0.04,24.91,0.6371495868001453,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.7344858491771068,0.22894092331610985,0.14,48.29,5.512694257783392,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.7827805747229304,0.24765958488766,0.22,68.21,14.571519890498449,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.8616468102276978,0.16812185270506827,0.34,85.32,24.485774059913467,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9122074023849605,0.12885296892582832,0.48,116.76,38.82572301550568,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9295418224966581,0.14045009561955493,0.67,125,60.085629132787055,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.947624856314937,0.10132693388322442,0.69,161.11,101.2634223551165,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9971216750042586,0.019624836020048532,0.97,158.3,133.45430118602587,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.9615966480632798,0.06886232915034604,0.76,290.75,306.4737329525958,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9983788595830241,0.016211404169759316,0.99,207.21,207.78924321523382,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9805463149962889,0.05294622430658385,0.88,383.26,534.4561782453698,method=SLSQP; iterations=1000000; temperature=0.1,2000
