convolution_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.7503172522429475,0.17929062448838012,0.01,24.91,0.9,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.8333062810153106,0.18353422390726157,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.876264015533076,0.1314166521073819,0.04,74.2,5.870659798067544,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.8935733399713093,0.14634112106479286,0.01,99.09,4.7526600738720814,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9199935968151661,0.1452123148199753,0.02,140.87,20.64449201373215,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9524597949784057,0.06908308924454525,0.03,177.55,33.94332025449175,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9671529454798615,0.07336749471129606,0.04,213.34,83.35481177751316,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9869046924852724,0.012837151417308647,0.04,587.39,70.31557940507001,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.9846508716966669,0.02195858701481911,0.09,784.55,67.56895094133941,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9909432925403434,0.008329152119716465,0.14,949.91,167.24705580896685,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9978672314641914,0.0035538778138698075,0.48,1618.69,541.9347251871174,method=SLSQP; iterations=1000000; temperature=0.1,2000
