MI50_convolution_15x15_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.607232555879637,0.24062583745976598,0.1,24.71,1.5128740459099295,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.7406609086877002,0.17451816674130122,0.17,47.3,7.63365752917481,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.7874278247508746,0.16150101240592912,0.2,70.72,10.663901156649375,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.8397667005526603,0.16006673670664073,0.32,90.99,18.35040252221386,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.935006758814517,0.11431893027025408,0.6,107.9,45.1197061026319,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9266906672234101,0.11792233360816554,0.51,154.62,59.06626650114123,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9956488511445889,0.02138965078597163,0.95,174.53,117.0708543980736,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,1.0,0.0,1.0,189.31,118.45722878113033,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,1.0,0.0,1.0,187.28,130.11526203386524,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,1.0,0.0,1.0,168.95,102.66375192635402,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,1.0,0.0,1.0,177.99,123.20833100193683,walksize=0.02; no_improve=10; iterations=100000,2000
