convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.5945567770370247,0.28523655981558194,0.0,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.7583922888506744,0.21031048545009867,0.02,49.62,2.677176260030842,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.8149066714144801,0.07939586740904792,0.0,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.8496554583785532,0.05744836100731932,0.0,100,0.0,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.8675000803843724,0.028385404593755905,0.01,150,0.0,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.8754123094037871,0.02818690754402717,0.01,200,0.0,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.8950425069631941,0.028714657785701536,0.04,393.94,32.31624665674833,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9031749994755698,0.031052116783777516,0.06,587.53,66.2025442765372,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9065915956479637,0.03109228763203527,0.07,773.66,115.49456412937514,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.924528167039691,0.044032500735996134,0.2,897.09,249.18514049281558,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,0.9318308163855524,0.045363673842604556,0.24,1810.19,413.2977182847662,walksize=0.02; no_improve=10; iterations=100000,2000
