convolution_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.45918315962304984,0.27267574967987074,0.0,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.6455971607322382,0.21551624012640413,0.01,49.69,3.1,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.7202178982420273,0.1621749904213369,0.02,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.8248819231700772,0.11506723373873767,0.08,99.5,2.7468990781342053,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.8762973200326994,0.11303319125646237,0.28,147.8,7.818651618489797,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9182309762231502,0.09133795765952957,0.43,182.98,32.12537937519182,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9300705999499264,0.052045919824580414,0.06,384.35,67.74079757845826,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9490676649995083,0.04029517602069329,0.08,570.85,113.84930452758216,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9683978909303044,0.03266358933528152,0.15,759.94,115.06421746752612,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.9738760897404474,0.029419411959447857,0.21,898.31,237.13098690279799,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,0.9858957377603406,0.017654225064550937,0.36,1557.15,680.9661344462191,walksize=0.02; no_improve=10; iterations=100000,2000
