convolution_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.5999223865753904,0.33133529395805256,0.02,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.7878016334931701,0.21702708163995163,0.07,49.35,3.785605378378481,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.8723594842419632,0.11147917800138887,0.07,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.9206609617236369,0.08203537572773921,0.1,99.58,4.2,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.9526509711036621,0.048018191448631176,0.14,146.74,11.173218340335433,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9682132453800196,0.04093958603432175,0.26,186.91,26.96428427128423,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9840485700429824,0.023801651241519582,0.32,331.45,120.30184050247456,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9955133820460058,0.008698964730199378,0.64,389.07,210.91849423917574,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9979993308555885,0.006359476150704185,0.84,410.13,256.35678479632855,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.9995902545862251,0.001065330728731679,0.87,477.44,344.30261296268037,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,1.0,0.0,1.0,514.3,436.2598498207881,walksize=0.02; no_improve=10; iterations=100000,2000
