convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.5096512371785419,0.238771678914405,0.0,25,0.0,iterations=10000,25
BestMLS,0.6437065022633642,0.21604529020897187,0.0,50,0.0,iterations=10000,50
BestMLS,0.7504713194652888,0.16159561472756157,0.03,75,0.0,iterations=10000,75
BestMLS,0.8504301332752366,0.13097893146375314,0.16,99.44,3.3038697848970315,iterations=10000,100
BestMLS,0.8928509555255997,0.10963492640206382,0.31,143.92,14.92315670562385,iterations=10000,150
BestMLS,0.9108203629531234,0.06634293277427022,0.22,190.21,23.155292607902318,iterations=10000,200
BestMLS,0.9621686436361164,0.04710619453220868,0.59,301.22,113.06604666782557,iterations=10000,400
BestMLS,0.9748085797179494,0.04126622540584221,0.72,383.74,186.47358087309945,iterations=10000,600
BestMLS,0.9832655445116047,0.03477228280561409,0.81,480.94,245.82616096368062,iterations=10000,800
BestMLS,0.9957368013318977,0.018676469146719287,0.95,446.72,272.28954731270454,iterations=10000,1000
BestMLS,1.0,0.0,1.0,533.84,371.14052227253126,iterations=10000,2000
