convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.45203194975608385,0.21168816939774246,0.0,25,0.0,iterations=10000,25
BestMLS,0.6620745884435507,0.18778321917069724,0.0,50,0.0,iterations=10000,50
BestMLS,0.7657895203970916,0.1370483289607352,0.02,75,0.0,iterations=10000,75
BestMLS,0.8277439793663556,0.11929480114301826,0.03,100,0.0,iterations=10000,100
BestMLS,0.8734303329406756,0.09002756355124375,0.05,149.09,7.296179988476328,iterations=10000,150
BestMLS,0.892083105184185,0.0721369226733029,0.04,197.14,14.700388230975879,iterations=10000,200
BestMLS,0.9518544627148715,0.05191728069693833,0.15,372.38,80.60488242474565,iterations=10000,400
BestMLS,0.9543611205409902,0.04630683922324734,0.19,542.84,138.99638248326588,iterations=10000,600
BestMLS,0.9753152213411463,0.03298534021452399,0.3,685.29,211.5784495241193,iterations=10000,800
BestMLS,0.9820516273647898,0.029120184391401495,0.34,865.59,238.2247514894752,iterations=10000,1000
BestMLS,0.9973462311429944,0.005506950906444512,0.81,1167.24,650.6814783460693,iterations=10000,2000
