convolution_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.4794413857441784,0.24816852997170022,0.0,25,0.0,iterations=10000,25
BestMLS,0.6451666591402596,0.18618814946404705,0.0,50,0.0,iterations=10000,50
BestMLS,0.7198897853410549,0.18254989660281912,0.02,75,0.0,iterations=10000,75
BestMLS,0.7963094947906785,0.1335816470080545,0.06,99.89,0.9199802369418794,iterations=10000,100
BestMLS,0.8835409362182595,0.09950752087737731,0.24,145.51,12.681406893877382,iterations=10000,150
BestMLS,0.9125395528261319,0.09458084465258643,0.41,181.29,30.593223980733928,iterations=10000,200
BestMLS,0.9637756869324198,0.06414554433482748,0.7,288.05,105.54958382895049,iterations=10000,400
BestMLS,0.9868664438036727,0.03747945239088148,0.88,343.97,165.83967278883262,iterations=10000,600
BestMLS,0.9902910771754141,0.03077712213779923,0.89,380.35,225.03092380085602,iterations=10000,800
BestMLS,0.9973245407934287,0.015170733888833249,0.96,370.36,242.38747342370493,iterations=10000,1000
BestMLS,1.0,0.0,1.0,345.29,240.96683601816676,iterations=10000,2000
