convolution_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.6076725218918024,0.2716264114611703,0.02,25,0.0,iterations=10000,25
BestMLS,0.7692413740055023,0.19953809434550557,0.0,50,0.0,iterations=10000,50
BestMLS,0.8613874786432485,0.15749704443362114,0.02,75,0.0,iterations=10000,75
BestMLS,0.9350135962782243,0.057914291274911246,0.07,100,0.0,iterations=10000,100
BestMLS,0.9480465895699011,0.05297798624524196,0.18,145.38,15.496353432242364,iterations=10000,150
BestMLS,0.9659985137659189,0.04178100165128765,0.27,184.07,33.6344745579276,iterations=10000,200
BestMLS,0.9888302636860884,0.02291749038476629,0.54,315.6,105.00033669979686,iterations=10000,400
BestMLS,0.9966809975834491,0.009151571104394804,0.72,401.72,180.13323239797094,iterations=10000,600
BestMLS,0.9988073817628061,0.004528115896005691,0.84,402.18,248.32865075918806,iterations=10000,800
BestMLS,0.998521383937844,0.004679613181212957,0.82,476.17,315.2247892818358,iterations=10000,1000
BestMLS,0.9998172275262878,0.0015419072578499084,0.98,576.22,423.2773663791733,iterations=10000,2000
