MI50_convolution_15x15_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.6453953048247062,0.1896463213418306,0.07,27.38,0.8382280492958122,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,25
Genetic local search,0.7680965706193544,0.1533894574863019,0.1,51.66,0.9235417115264979,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,50
Genetic local search,0.8067382057191026,0.16424785442518985,0.21,75.74,0.8241310085125539,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,75
Genetic local search,0.8323973455557219,0.155233387188665,0.26,99.61,3.5130205139328647,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,100
Genetic local search,0.8881849003962148,0.14115146129180456,0.4,149.45,5.248135792157944,pop_size=6; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,150
Genetic local search,0.8999201238209348,0.1369269028076534,0.49,140.03,28.19787763343729,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament8_selection at 0x7f7d144f83a0>; nbour_methodHamming,200
Genetic local search,0.980552464325856,0.06729725794723693,0.83,264.26,36.007468361129995,pop_size=10; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament4_selection at 0x7f7d144f8310>; nbour_methodHamming,400
Genetic local search,0.9747150718166593,0.056352962970166606,0.79,245.01,45.94320054989287,pop_size=20; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodadjacent,600
Genetic local search,1.0,0.0,1.0,265.31,79.86335489162383,pop_size=20; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,800
Genetic local search,1.0,0.0,1.0,294.27,95.58917302707457,pop_size=24; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,1000
Genetic local search,1.0,0.0,1.0,394.85,47.766133770209365,pop_size=50; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,2000
