convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.6883806026658449,0.21204317383901516,0.02,27.61,0.7371114795831993,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,25
Genetic local search,0.7895159787523974,0.16665598439550122,0.0,52.33,0.8995509541943242,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,50
Genetic local search,0.830424602125734,0.09984296434913424,0.0,76.36,1.1148220857286075,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,75
Genetic local search,0.8560947742231042,0.06626016994715206,0.03,101.29,1.0569156575009697,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,100
Genetic local search,0.8786811720842367,0.03403669727539656,0.04,153.4,1.063632046956621,pop_size=6; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,150
Genetic local search,0.8865163810712781,0.03683510129219393,0.05,200.06,4.143438283368151,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament8_selection at 0x7f7d144f83a0>; nbour_methodHamming,200
Genetic local search,0.8967376083798551,0.026349135508498312,0.02,403.56,1.526334488143726,pop_size=10; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament4_selection at 0x7f7d144f8310>; nbour_methodHamming,400
Genetic local search,0.9089793418486619,0.033755193548806316,0.06,600.79,30.58628959372338,pop_size=20; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodadjacent,600
Genetic local search,0.9124195374764121,0.03590297622139889,0.1,774.85,104.75882595830109,pop_size=20; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,800
Genetic local search,0.918686843882249,0.039167620429741,0.12,978.91,111.48475413275308,pop_size=24; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,1000
Genetic local search,0.9455079471026083,0.044673410430896454,0.26,1863.66,318.24081536731984,pop_size=50; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,2000
