convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5737119739868755,0.23295545089531608,0.0,27.37,0.9282872247947678,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,25
Genetic local search,0.7500096677391543,0.17777391433946776,0.02,52.27,0.9729160583347654,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,50
Genetic local search,0.8060107289583432,0.13492372575189912,0.12,76.72,1.07383951926315,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,75
Genetic local search,0.8481118835617397,0.12709635196503935,0.2,101.47,0.989388138643722,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,100
Genetic local search,0.8813654280259582,0.091487617585917,0.21,153.06,1.1265393508843395,pop_size=6; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,150
Genetic local search,0.9095588113516978,0.08040712738365717,0.32,200.32,4.25661695232116,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament8_selection at 0x7f7d144f83a0>; nbour_methodHamming,200
Genetic local search,0.9555571801532576,0.052832630020757394,0.56,403.49,1.4248515783063231,pop_size=10; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament4_selection at 0x7f7d144f8310>; nbour_methodHamming,400
Genetic local search,0.9504064476443349,0.04463899005909118,0.43,539.57,107.22988191617846,pop_size=20; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodadjacent,600
Genetic local search,0.9618185437642482,0.04144741900465338,0.53,633,192.14157238448902,pop_size=20; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,800
Genetic local search,0.9625090751651865,0.04013399976527037,0.53,811.33,238.7412721975508,pop_size=24; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,1000
Genetic local search,0.9906163348881054,0.025539101601442533,0.88,1248.69,444.9209371371843,pop_size=50; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,2000
