convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5754538557206794,0.24490047287291072,0.02,27.49,0.846800275785682,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,25
Genetic local search,0.721696601852398,0.21355396920851238,0.05,52.28,0.8655003807572295,pop_size=4; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,50
Genetic local search,0.8441913754397101,0.12539700374520021,0.13,76.6,1.1370704872299224,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,75
Genetic local search,0.8891579756406167,0.10613852134484676,0.23,101.37,1.0313764461812058,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,100
Genetic local search,0.9287581419902439,0.0723975786174725,0.37,153.17,1.155181563410897,pop_size=6; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodHamming,150
Genetic local search,0.9332123091645914,0.07545717545795261,0.43,200.69,0.8127146181194543,pop_size=4; reproductor=<function twopoint_crossover at 0x7f7d144f0790>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament8_selection at 0x7f7d144f83a0>; nbour_methodHamming,200
Genetic local search,0.9667793315872054,0.04563622503684443,0.64,403.82,1.4590712418826193,pop_size=10; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function tournament4_selection at 0x7f7d144f8310>; nbour_methodHamming,400
Genetic local search,0.9527468570614102,0.03829432199668941,0.23,567.47,79.28320991065746,pop_size=20; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function select_best_half at 0x7f7d144f81f0>; nbour_methodadjacent,600
Genetic local search,0.9690343946198394,0.03246772957305971,0.4,711.91,161.30140524289718,pop_size=20; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,800
Genetic local search,0.9721240149040992,0.02701813438349824,0.36,902.18,184.65465336703812,pop_size=24; reproductor=<function uniform_crossover at 0x7f7d144f0670>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,1000
Genetic local search,0.9888898090449825,0.016527856266073566,0.67,1458.26,510.164790568061,pop_size=50; reproductor=<function onepoint_crossover at 0x7f7d144f0700>; hillclimber=<function RandomGreedyHillclimb at 0x7f7d10b0ea60>; selector=<function RTS at 0x7f7d144f8160>; nbour_methodadjacent,2000
