convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.7377564690117685,0.12036965333703974,0.0,27.89,1.6930935167809416,pop_size=10; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,25
Genetic algorithm,0.8220422572808548,0.06180294174037881,0.02,52,5.009082659620331,pop_size=14; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,50
Genetic algorithm,0.8415541606435432,0.039655571168342583,0.0,75.09,8.847866831883687,pop_size=16; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,75
Genetic algorithm,0.8507631308048847,0.03721779637146253,0.02,94.96,14.742859939371302,pop_size=20; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,100
Genetic algorithm,0.8725383164628041,0.03402699651509502,0.03,147.72,15.75127379809729,pop_size=12; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.02,150
Genetic algorithm,0.8721073322218228,0.030480698510524297,0.02,174.65,30.419416646130955,pop_size=32; reproductor=<function uniform_crossover at 0x7ff1cf594670>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,200
Genetic algorithm,0.8882570434808799,0.0264153026756664,0.03,361.01,58.66916230917744,pop_size=24; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,400
Genetic algorithm,0.8954519127106897,0.03006990863335562,0.05,551.49,85.66242118945976,pop_size=40; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,600
Genetic algorithm,0.9017617277944829,0.03482044824155762,0.08,704.02,119.7230794691473,pop_size=50; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,800
Genetic algorithm,0.9014194863016356,0.033447423817341254,0.06,893.31,105.26644356780626,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function tournament4_selection at 0x7ff1cf59c310>; mutation=0.05,1000
Genetic algorithm,0.9249090446138747,0.04767392600451364,0.23,1727.37,423.68731692753386,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,2000
