convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6437207357840341,0.152836822423692,0.0,27.97,1.720083390038654,pop_size=10; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,25
Genetic algorithm,0.7652241629000137,0.1131119817289959,0.01,52.3,3.707758722931516,pop_size=14; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,50
Genetic algorithm,0.7975573115574065,0.09445326922610234,0.04,72.4,10.48230832778677,pop_size=16; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,75
Genetic algorithm,0.8353392686397192,0.08597520799205036,0.01,96.52,12.393774911852182,pop_size=20; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,100
Genetic algorithm,0.8701695932275174,0.06073059974056435,0.05,147.51,15.221923981447604,pop_size=12; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.02,150
Genetic algorithm,0.8876698012388639,0.059028396779860916,0.1,180.39,29.868700891222115,pop_size=32; reproductor=<function uniform_crossover at 0x7ff1cf594670>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,200
Genetic algorithm,0.9282273013726338,0.0432073308488254,0.23,340.34,74.6753539318595,pop_size=24; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,400
Genetic algorithm,0.928943553795255,0.034113539070299986,0.18,534.42,85.77939523256529,pop_size=40; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,600
Genetic algorithm,0.9474375018995029,0.04234195941515855,0.39,663.44,118.48703803293499,pop_size=50; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,800
Genetic algorithm,0.9586298651540427,0.04372910496516336,0.52,866.85,138.6747794101164,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function tournament4_selection at 0x7ff1cf59c310>; mutation=0.05,1000
Genetic algorithm,0.967228259867091,0.04065560740944656,0.59,1591.66,348.68790769066965,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,2000
