convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6381588786478573,0.17905602918018146,0.0,27.68,1.8361135943380875,pop_size=10; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,25
Genetic algorithm,0.7288381421986923,0.11993672671374815,0.0,52.52,4.6416646265160635,pop_size=14; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,50
Genetic algorithm,0.8168025936685378,0.10540381332607038,0.05,73.43,9.767245820040104,pop_size=16; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,75
Genetic algorithm,0.8641847982439324,0.09101271556930177,0.04,99.93,10.992426226426737,pop_size=20; reproductor=<function onepoint_crossover at 0x7ff1cf594700>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,100
Genetic algorithm,0.9053731012327064,0.0792652952974899,0.07,145.29,17.839517477734198,pop_size=12; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.02,150
Genetic algorithm,0.9073825054291426,0.06973807226566463,0.1,178.09,30.32853608419142,pop_size=32; reproductor=<function uniform_crossover at 0x7ff1cf594670>; selector=<function tournament8_selection at 0x7ff1cf59c3a0>; mutation=0.02,200
Genetic algorithm,0.9602878955145803,0.04731642000285477,0.3,335.53,63.2053659338215,pop_size=24; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,400
Genetic algorithm,0.977399705572777,0.037378763185705106,0.47,499.7,112.45483942050208,pop_size=40; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,600
Genetic algorithm,0.978925201102054,0.03529139843492283,0.5,613.57,138.84132757368837,pop_size=50; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,800
Genetic algorithm,0.9875533608675676,0.028786213842321023,0.66,832.26,134.7484465156606,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function tournament4_selection at 0x7ff1cf59c310>; mutation=0.05,1000
Genetic algorithm,0.9991619677293666,0.0033337378578417445,0.94,1417.17,351.0322168586913,pop_size=160; reproductor=<function twopoint_crossover at 0x7ff1cf594790>; selector=<function select_best_half at 0x7ff1cf59c1f0>; mutation=0.05,2000
