MI50_convolution_15x15_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.6772234243619204,0.20761590526135798,0.1,24.89,0.723278171336114,iterations=10000,25
RandomGreedyMLS,0.7637876581267493,0.16368851523995573,0.16,47.58,7.061318731102727,iterations=10000,50
RandomGreedyMLS,0.8139598892957469,0.16726431830771454,0.28,69.11,13.60102120348975,iterations=10000,75
RandomGreedyMLS,0.8366687468322447,0.16263433201698055,0.32,86.88,23.02580019776674,iterations=10000,100
RandomGreedyMLS,0.9078051505461525,0.1288553962291038,0.42,120.51,42.27531098870733,iterations=10000,150
RandomGreedyMLS,0.9430032379105736,0.10130437711529115,0.58,144.04,65.24095509894244,iterations=10000,200
RandomGreedyMLS,0.9977530451716106,0.013462881741325886,0.96,196.18,110.45318767091634,iterations=10000,400
RandomGreedyMLS,1.0,0.0,1.0,213.55,123.11474281738113,iterations=10000,600
RandomGreedyMLS,1.0,0.0,1.0,191.74,111.16514423563392,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,181.43,114.1734684989946,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,219.92,139.17343877552952,iterations=10000,2000
