convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.4785250367037061,0.2896597138036484,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.6736655874320198,0.23151263173917244,0.04,50,0.0,iterations=10000,50
RandomGreedyMLS,0.7986107148398454,0.17211651272399445,0.13,74.71,1.6775101800109602,iterations=10000,75
RandomGreedyMLS,0.8682330512931854,0.08853563139464243,0.13,98.92,5.269849441047925,iterations=10000,100
RandomGreedyMLS,0.8783491930635615,0.0744753617505355,0.14,145.62,15.91440488451525,iterations=10000,150
RandomGreedyMLS,0.9120609585854933,0.08162844097801064,0.33,177.56,41.60645831763831,iterations=10000,200
RandomGreedyMLS,0.968712939277813,0.047416290890138636,0.67,275.86,126.27307429903372,iterations=10000,400
RandomGreedyMLS,0.9669071664832913,0.04469990038937197,0.64,422.03,182.78615064792754,iterations=10000,600
RandomGreedyMLS,0.9913968376600374,0.0259440994802331,0.9,381.3,240.49185710400536,iterations=10000,800
RandomGreedyMLS,0.9922171989970768,0.02489385681068571,0.91,383.64,285.7041105547465,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,412.35,316.9835854336048,iterations=10000,2000
