convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.4871376279074281,0.30983522102646677,0.02,25,0.0,iterations=10000,25
RandomGreedyMLS,0.735752120422324,0.19622489435952659,0.04,50,0.0,iterations=10000,50
RandomGreedyMLS,0.8099883023442599,0.16906899842596293,0.12,73.78,6.0211412052983295,iterations=10000,75
RandomGreedyMLS,0.8920666701138934,0.10059818503634947,0.24,98.61,5.365236022371949,iterations=10000,100
RandomGreedyMLS,0.920927256677677,0.0813459485372663,0.36,133.37,28.426639590071815,iterations=10000,150
RandomGreedyMLS,0.942793817088849,0.057693609080998715,0.41,169.81,46.2054470093444,iterations=10000,200
RandomGreedyMLS,0.9771211416425918,0.03967177876608139,0.73,251.99,126.98958002270672,iterations=10000,400
RandomGreedyMLS,0.991274161769569,0.026309392174253293,0.9,288.14,172.9379534907701,iterations=10000,600
RandomGreedyMLS,0.9938919132386982,0.02237587639233894,0.93,344.75,236.06245428536985,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,271.33,206.0754522503882,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,298.82,210.60923555487804,iterations=10000,2000
