convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.5524771901714712,0.26344933586653524,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.7064073394757685,0.22097711534160966,0.02,50,0.0,iterations=10000,50
RandomGreedyMLS,0.806031790184811,0.1625123884097086,0.03,74.93,0.7,iterations=10000,75
RandomGreedyMLS,0.8274574706233111,0.16740014231572642,0.04,99.1,5.319109821476644,iterations=10000,100
RandomGreedyMLS,0.8998906418666156,0.08441192431000258,0.03,148.81,8.961979173545915,iterations=10000,150
RandomGreedyMLS,0.9195125416819998,0.06374994379354551,0.13,190.86,32.71981452615926,iterations=10000,200
RandomGreedyMLS,0.9628044467485231,0.04037416427649048,0.22,372.64,66.81536749381337,iterations=10000,400
RandomGreedyMLS,0.9813168962166321,0.030090807436116664,0.45,483.28,164.08214744789,iterations=10000,600
RandomGreedyMLS,0.9854405061449291,0.027142308376591005,0.55,588.47,249.4557491982913,iterations=10000,800
RandomGreedyMLS,0.9919062199134356,0.01966731332396903,0.68,681.87,314.66784331444103,iterations=10000,1000
RandomGreedyMLS,0.9986003564176164,0.0042103926849587445,0.89,905.94,637.7107862257677,iterations=10000,2000
