convolution_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.6912978177866197,0.27045451521641284,0.02,25,0.0,iterations=10000,25
RandomGreedyMLS,0.854968766159136,0.15778757906448404,0.03,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9137799385988421,0.12328681190468348,0.11,74.45,3.22043663518041,iterations=10000,75
RandomGreedyMLS,0.9507947993025332,0.05244896892930996,0.14,98.99,5.620120779463514,iterations=10000,100
RandomGreedyMLS,0.9659502216524403,0.039665950114114244,0.16,146.78,11.01567294835184,iterations=10000,150
RandomGreedyMLS,0.9788994688441266,0.030974253563539812,0.32,180.03,38.39282734989951,iterations=10000,200
RandomGreedyMLS,0.9923543870003987,0.016551070397106748,0.56,301.01,117.47516350447886,iterations=10000,400
RandomGreedyMLS,0.9985859161765515,0.00391897962368841,0.77,369.69,185.35282734844,iterations=10000,600
RandomGreedyMLS,0.9992612804166375,0.0027991375004609736,0.83,388.15,262.19325030414205,iterations=10000,800
RandomGreedyMLS,0.9997163300981559,0.0009065569726125283,0.91,477.77,294.4302786567628,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,483.01,337.9890469506162,iterations=10000,2000
