convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6385261491470341,0.10759799688971022,0.0,25,0.0,NA,25
Random sampling,0.7020211766249235,0.1004736132329068,0.0,50,0.0,NA,50
Random sampling,0.7373536251271192,0.0846696867701365,0.0,75,0.0,NA,75
Random sampling,0.7598711447969267,0.07909386156828767,0.01,100,0.0,NA,100
Random sampling,0.7880225333975127,0.07489848368562348,0.0,150,0.0,NA,150
Random sampling,0.8061592568842783,0.07308220008501397,0.02,200,0.0,NA,200
Random sampling,0.8504896896820845,0.058962265283082634,0.02,400,0.0,NA,400
Random sampling,0.8628325397791777,0.048942598560709025,0.03,600,0.0,NA,600
Random sampling,0.8865154950332547,0.04425082934232342,0.05,800,0.0,NA,800
Random sampling,0.895573220189283,0.04526117328694211,0.05,1000,0.0,NA,1000
Random sampling,0.9197308906069706,0.03834704896783451,0.13,2000,0.0,NA,2000
