convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6531776404418738,0.14280244528323524,0.0,25,0.0,NA,25
Random sampling,0.7061077046661756,0.113600877635307,0.0,50,0.0,NA,50
Random sampling,0.7552344088657712,0.09931821837721452,0.0,75,0.0,NA,75
Random sampling,0.7896702665166594,0.06568687458654425,0.0,100,0.0,NA,100
Random sampling,0.8296019279502478,0.07315055921091732,0.02,150,0.0,NA,150
Random sampling,0.831300063457356,0.07389837918776875,0.01,200,0.0,NA,200
Random sampling,0.8708711287244796,0.061648995447138415,0.02,400,0.0,NA,400
Random sampling,0.8884988169517363,0.056334922133383376,0.02,600,0.0,NA,600
Random sampling,0.8959317796049246,0.04873694600141769,0.03,800,0.0,NA,800
Random sampling,0.9077035505314357,0.04896908359903285,0.03,1000,0.0,NA,1000
Random sampling,0.9483695584912331,0.051509977255289954,0.14,2000,0.0,NA,2000
