convolution_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.5868656770153776,0.13814367046532827,0.0,25,0.0,NA,25
Random sampling,0.6500532006485492,0.125292990185891,0.0,50,0.0,NA,50
Random sampling,0.7110865643925305,0.11948782469326588,0.0,75,0.0,NA,75
Random sampling,0.7459152564697363,0.12073306419503199,0.01,100,0.0,NA,100
Random sampling,0.7861002820478191,0.10005099681878546,0.0,150,0.0,NA,150
Random sampling,0.8065678630789941,0.09263704831715258,0.01,200,0.0,NA,200
Random sampling,0.8500969374029591,0.07291703876205742,0.03,400,0.0,NA,400
Random sampling,0.8895657038650825,0.06970393515236294,0.06,600,0.0,NA,600
Random sampling,0.8970027853424235,0.059984158446007164,0.01,800,0.0,NA,800
Random sampling,0.9031962734805963,0.06055800350255252,0.04,1000,0.0,NA,1000
Random sampling,0.953510916619787,0.0398968180649463,0.09,2000,0.0,NA,2000
