pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.8607480971529173,0.078497965078682,0.01,24.9,1.0,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.9126163472603188,0.07446533760272214,0.01,49.81,1.6249009293809362,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.936464065807015,0.05450977424623871,0.0,74.92,0.7061061241667987,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.9472631065088835,0.05507753044200941,0.02,98.23,9.74716223919412,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9677889817850239,0.046215673117302736,0.08,138.14,21.973363121486134,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9641536193991365,0.05228796485772781,0.07,159.28,45.11849270352882,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9773781411500281,0.03963807811862432,0.23,181.81,80.95761392559227,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9818613004942135,0.01470150958331339,0.17,554.17,124.13490991089435,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.985531022154504,0.010969015468061788,0.24,709.15,193.5064728904567,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9874192264399028,0.010618454840182633,0.25,886.25,240.89154167069637,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9980308605931404,0.005043896694802223,0.72,1370.99,596.5299233013709,method=SLSQP; iterations=1000000; temperature=0.1,2000
