pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Basin hopping,0.9478888189599244,0.03724648319884967,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5,25
Basin hopping,0.9697864324792642,0.024290907241763693,0.03,49.88,1.103529690483123,method=COBYLA; iterations=1000000; temperature=0.5,50
Basin hopping,0.9771633734219607,0.02095235875090516,0.09,72.8,8.522104354340108,method=COBYLA; iterations=1000000; temperature=1.0,75
Basin hopping,0.9803216783195013,0.02043452692007048,0.1,96.09,11.366346747475127,method=COBYLA; iterations=1000000; temperature=1.0,100
Basin hopping,0.9883028512521893,0.009650212381781837,0.13,121.96,30.393353872120787,method=COBYLA; iterations=1000000; temperature=0.1,150
Basin hopping,0.9899154804775353,0.008651662636550704,0.22,135.92,48.36846789871152,method=COBYLA; iterations=1000000; temperature=0.25,200
Basin hopping,0.9902307693484015,0.005457808426928719,0.16,145.93,57.05911430483762,method=COBYLA; iterations=1000000; temperature=0.25,400
Basin hopping,0.9947738168283538,0.005625313414021055,0.26,520.32,167.154007496746,method=SLSQP; iterations=1000000; temperature=2.0,600
Basin hopping,0.996996379469748,0.0048946829898080645,0.46,633.93,226.70758342816498,method=SLSQP; iterations=1000000; temperature=0.005,800
Basin hopping,0.9983829900613879,0.0035279457542213137,0.47,767.15,314.7579597600722,method=SLSQP; iterations=1000000; temperature=1.0,1000
Basin hopping,0.9998328328655074,0.0008132922909630532,0.76,1181.77,662.0365404636597,method=SLSQP; iterations=1000000; temperature=0.1,2000
