pnpoly_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.9738688163171247,0.014172535164791092,0.0,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.9816834285416575,0.013723289466030325,0.03,49.45,3.97816007417469,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.983051761660763,0.011267982393752799,0.03,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.9874229013954858,0.00828401631768163,0.04,99.61,3.703383656205566,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.9907095842530365,0.006304221477116218,0.04,149.35,5.2903094179238455,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9931345444493705,0.005948742410024555,0.13,191.25,29.421484282301893,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9988971897587446,0.0011096458450618116,0.25,362.89,81.81327532987554,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9994080393397866,0.0005992807293380678,0.48,475.42,171.711243403311,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9993981180161912,0.0006522809135162457,0.52,592.08,248.13692375237696,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.9995572597504966,0.0006136255360947799,0.65,682.08,305.2185400196344,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,0.9997773066258497,0.000496331455662135,0.83,854.38,625.7775087881079,walksize=0.02; no_improve=10; iterations=100000,2000
