pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.8478722776929596,0.08218006673973069,0.02,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.8805981109637201,0.08340536779894661,0.03,49.74,2.6,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.8280460982519039,0.11278631585697894,0.08,75,0.0,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.8978105549035841,0.08989768237515514,0.08,99.59,3.7066552212598527,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.9694489776213968,0.04542726343144295,0.36,146.51,8.670739136412603,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9920573749668338,0.016927814131548688,0.76,181.59,22.8941768433227,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9992436674646812,0.006014469173252032,0.75,257.34,112.22643236427024,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9999474964054558,0.0005149059315209093,0.95,256.86,144.8939716837903,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9999997486936542,2.513063458919884e-06,0.99,308.82,178.50741319524118,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,1.0,0.0,1.0,291.59,165.57973421840725,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,1.0,0.0,1.0,308.03,193.1665662666092,walksize=0.02; no_improve=10; iterations=100000,2000
