pnpoly_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.9829880211371326,0.016270354495306418,0.0,25,0.0,walksize=0.02; no_improve=100; iterations=100000,25
BestILS,0.9915153373085029,0.010748222129585707,0.03,49.47,3.1122274331995077,walksize=0.02; no_improve=100; iterations=100000,50
BestILS,0.9923830671797368,0.006534124110252229,0.07,74.72,2.8,walksize=0.02; no_improve=25; iterations=100000,75
BestILS,0.9962369764359027,0.0031241682539096135,0.02,99.98,0.2,walksize=0.02; no_improve=25; iterations=100000,100
BestILS,0.9984055731733273,0.001397383599901513,0.16,146.19,14.854645907947623,walksize=0.35; no_improve=50; iterations=100000,150
BestILS,0.9988979969985448,0.000804167068305953,0.16,189.67,27.360686609023023,walksize=0.35; no_improve=10; iterations=100000,200
BestILS,0.9996031088276728,0.0005137465070663846,0.59,291.3,121.59707432684588,walksize=0.02; no_improve=10; iterations=100000,400
BestILS,0.9997535001847265,0.00040798436689697,0.73,342.29,203.19485075596128,walksize=0.02; no_improve=10; iterations=100000,600
BestILS,0.9998628140669761,0.00032868277651679353,0.85,402.71,251.6969596458199,walksize=0.02; no_improve=10; iterations=100000,800
BestILS,0.9998628140669761,0.00032868277651679353,0.85,496.49,340.747262452227,walksize=0.02; no_improve=10; iterations=100000,1000
BestILS,1.0,0.0,1.0,527.65,458.8311759022026,walksize=0.02; no_improve=10; iterations=100000,2000
