pnpoly_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.946374800530787,0.11432470354208996,0.0,25,0.0,iterations=10000,25
BestMLS,0.9916739231479251,0.00610532825749079,0.01,50,0.0,iterations=10000,50
BestMLS,0.9929849431752705,0.00602614469324541,0.07,74.88,1.2,iterations=10000,75
BestMLS,0.9963126854047948,0.0034594691391054808,0.1,99.51,3.7186263348421846,iterations=10000,100
BestMLS,0.9981033031608563,0.001718046147341711,0.12,147.02,11.191609411166976,iterations=10000,150
BestMLS,0.9989317281770399,0.000674698964436476,0.14,194.71,17.737875358176982,iterations=10000,200
BestMLS,0.999323998012798,0.00047980339858143153,0.33,350.21,91.72381634476666,iterations=10000,400
BestMLS,0.9993869208824614,0.00047463315570019234,0.36,491.83,164.8664629512643,iterations=10000,600
BestMLS,0.9996094157023034,0.0004688796175122139,0.58,568.81,263.09458663216833,iterations=10000,800
BestMLS,0.9997074041666452,0.00043917357331911793,0.69,620.72,331.98749763486364,iterations=10000,1000
BestMLS,0.999940116563487,0.00022500264430809456,0.93,853.63,564.6361419784274,iterations=10000,2000
