pnpoly_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.8792827552507447,0.08625894715424083,0.06,27.44,0.8565847148632608,pop_size=4; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,25
Genetic local search,0.9348707883515631,0.08226685969924868,0.19,52.4,0.8040302522073697,pop_size=4; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,50
Genetic local search,0.9701544082233586,0.05042248297223437,0.44,76.36,1.096551066947747,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,75
Genetic local search,0.9859193434354676,0.025164403410498352,0.67,101.15,1.1492202011394816,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,100
Genetic local search,0.9976430380087778,0.01094189727678885,0.94,153.04,1.1713757775031939,pop_size=6; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,150
Genetic local search,0.9974043093240643,0.012265805424904248,0.95,199.5,5.368256869616228,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function tournament8_selection at 0x7fc946a793a0>; nbour_methodHamming,200
Genetic local search,1.0,0.0,1.0,401.6,5.425342702018319,pop_size=10; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function tournament4_selection at 0x7fc946a79310>; nbour_methodHamming,400
Genetic local search,0.9966677047179637,0.005266714417421158,0.71,474.15,70.89106381831866,pop_size=20; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodadjacent,600
Genetic local search,0.9990105841682652,0.0031619915092898783,0.91,522.3,149.65667780664253,pop_size=20; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,800
Genetic local search,0.9993163598451765,0.0027284791155552587,0.94,607.79,175.80902718689973,pop_size=24; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,1000
Genetic local search,1.0,0.0,1.0,942.93,190.06852857734117,pop_size=50; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,2000
