pnpoly_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.9648489512705879,0.025943999444056343,0.0,27.61,0.6947857747012908,pop_size=4; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,25
Genetic local search,0.9764415411439515,0.019284417218156744,0.06,52.6,0.7521014330903549,pop_size=4; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,50
Genetic local search,0.9823321380645883,0.015646209851161944,0.1,76.52,1.1413265363717182,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,75
Genetic local search,0.9860851741714515,0.01122046264176825,0.17,101.29,1.0758600036597454,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,100
Genetic local search,0.9897964357461406,0.008402376902195412,0.25,153.35,1.131504763712036,pop_size=6; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodHamming,150
Genetic local search,0.9911183856784741,0.008762450627990609,0.3,200.63,1.3901166290726266,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc946a71790>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function tournament8_selection at 0x7fc946a793a0>; nbour_methodHamming,200
Genetic local search,0.9968844876099782,0.005402561708011166,0.57,404.02,1.4701061598442886,pop_size=10; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function tournament4_selection at 0x7fc946a79310>; nbour_methodHamming,400
Genetic local search,0.997966152789636,0.0034807654787920943,0.21,591.9,36.99672385168146,pop_size=20; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function select_best_half at 0x7fc946a791f0>; nbour_methodadjacent,600
Genetic local search,0.9985073108690472,0.0020712724262615693,0.23,763.02,103.0188744107044,pop_size=20; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,800
Genetic local search,0.9989050068112888,0.0016952202948203497,0.33,963.89,94.93952301493319,pop_size=24; reproductor=<function uniform_crossover at 0x7fc946a71670>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,1000
Genetic local search,0.9995190240325023,0.0005946876944071181,0.59,1737.84,335.1802385631234,pop_size=50; reproductor=<function onepoint_crossover at 0x7fc946a71700>; hillclimber=<function RandomGreedyHillclimb at 0x7fc943090a60>; selector=<function RTS at 0x7fc946a79160>; nbour_methodadjacent,2000
