pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.9610110628961313,0.028923774629628255,0.0,27.86,1.5828627689899544,pop_size=10; reproductor=<function onepoint_crossover at 0x7f110204b700>; selector=<function tournament8_selection at 0x7f11020533a0>; mutation=0.02,25
Genetic algorithm,0.9795918114058879,0.009257088686082274,0.02,51.57,4.57320920407567,pop_size=14; reproductor=<function onepoint_crossover at 0x7f110204b700>; selector=<function tournament8_selection at 0x7f11020533a0>; mutation=0.02,50
Genetic algorithm,0.9847672759850191,0.008738795927109218,0.04,70.16,9.99466524368542,pop_size=16; reproductor=<function onepoint_crossover at 0x7f110204b700>; selector=<function tournament8_selection at 0x7f11020533a0>; mutation=0.02,75
Genetic algorithm,0.9857580017582718,0.00808211219652953,0.01,93.04,12.871485987062703,pop_size=20; reproductor=<function onepoint_crossover at 0x7f110204b700>; selector=<function tournament8_selection at 0x7f11020533a0>; mutation=0.02,100
Genetic algorithm,0.9901349817588424,0.006868897256035703,0.06,140.35,21.480258731018935,pop_size=12; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function select_best_half at 0x7f11020531f0>; mutation=0.02,150
Genetic algorithm,0.9881025481237559,0.007444615247243022,0.1,155.22,23.681207654163163,pop_size=32; reproductor=<function uniform_crossover at 0x7f110204b670>; selector=<function tournament8_selection at 0x7f11020533a0>; mutation=0.02,200
Genetic algorithm,0.9952026390471694,0.005097706242898696,0.17,383.15,70.04938733969531,pop_size=24; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function select_best_half at 0x7f11020531f0>; mutation=0.05,400
Genetic algorithm,0.9969453826514568,0.003918311970426298,0.19,558.46,127.59859883338227,pop_size=40; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function select_best_half at 0x7f11020531f0>; mutation=0.05,600
Genetic algorithm,0.9982340287450019,0.00322933090739652,0.28,732.08,168.86619411578954,pop_size=50; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function select_best_half at 0x7f11020531f0>; mutation=0.05,800
Genetic algorithm,0.9993347692740358,0.0015751810911520405,0.46,909.31,209.45994506315185,pop_size=160; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function tournament4_selection at 0x7f1102053310>; mutation=0.05,1000
Genetic algorithm,0.999797359654837,0.0006960508054095998,0.68,1464.29,587.7730321074005,pop_size=160; reproductor=<function twopoint_crossover at 0x7f110204b790>; selector=<function select_best_half at 0x7f11020531f0>; mutation=0.05,2000
