pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyILS,0.720438217134563,0.19780461489694515,0.04,25,0.0,walksize=0.5; no_improve=100; iterations=100000,25
RandomGreedyILS,0.939052117118337,0.07993191975168151,0.22,50,0.0,walksize=0.5; no_improve=100; iterations=100000,50
RandomGreedyILS,0.9792973934167277,0.03773821027218019,0.54,72.62,5.708013151825611,walksize=0.02; no_improve=100; iterations=100000,75
RandomGreedyILS,0.9897628593009901,0.01654862100021687,0.59,93.91,11.934243236006278,walksize=0.02; no_improve=100; iterations=100000,100
RandomGreedyILS,0.9929175769947141,0.011507541094351422,0.68,117.8,32.119096556976245,walksize=0.5; no_improve=10; iterations=100000,150
RandomGreedyILS,0.9832280746680384,0.03909347332188496,0.52,161.85,51.341474167547716,walksize=0.02; no_improve=50; iterations=100000,200
RandomGreedyILS,0.9837133477169895,0.023722834824742713,0.35,347.24,89.50640403700935,walksize=0.1; no_improve=5; iterations=100000,400
RandomGreedyILS,0.99552874858542,0.00693951665721091,0.54,444.33,192.01162922483564,walksize=0.05; no_improve=5; iterations=100000,600
RandomGreedyILS,0.9974157759443419,0.004301028535481793,0.67,529.63,251.99930475292902,walksize=0.05; no_improve=5; iterations=100000,800
RandomGreedyILS,0.9988665537795506,0.0029766317243447816,0.86,509.06,302.7841121754221,walksize=0.05; no_improve=5; iterations=100000,1000
RandomGreedyILS,0.9999443055387712,0.0005569446122876797,0.99,624.91,396.19911571447165,walksize=0.05; no_improve=5; iterations=100000,2000
