pnpoly_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyILS,0.9275026518074864,0.0874394893628861,0.04,25,0.0,walksize=0.5; no_improve=100; iterations=100000,25
RandomGreedyILS,0.9716966577085113,0.020867153321521704,0.04,50,0.0,walksize=0.5; no_improve=100; iterations=100000,50
RandomGreedyILS,0.9802099793906226,0.018094674460513202,0.1,74.6,2.2962419891481978,walksize=0.02; no_improve=100; iterations=100000,75
RandomGreedyILS,0.9877222154157638,0.011604873520410357,0.19,98.31,7.440939171742755,walksize=0.02; no_improve=25; iterations=100000,100
RandomGreedyILS,0.9905896979698177,0.008205800069738912,0.24,143.08,18.942592699570408,walksize=0.5; no_improve=10; iterations=100000,150
RandomGreedyILS,0.9878043100314627,0.01175413413071694,0.13,189.09,33.16079436365002,walksize=0.02; no_improve=50; iterations=100000,200
RandomGreedyILS,0.9970191755631002,0.004311229528025556,0.14,377.63,70.88640151109323,walksize=0.1; no_improve=5; iterations=100000,400
RandomGreedyILS,0.9989690602515935,0.0013751001162220571,0.35,519.85,139.38721409995057,walksize=0.05; no_improve=5; iterations=100000,600
RandomGreedyILS,0.9993355344673189,0.0008443630880232167,0.55,611.83,235.37818505545496,walksize=0.05; no_improve=5; iterations=100000,800
RandomGreedyILS,0.9995109421098659,0.0006526104031544953,0.62,716.57,299.5343273021028,walksize=0.05; no_improve=5; iterations=100000,1000
RandomGreedyILS,0.9999205165611309,0.00027444477712364245,0.92,938.68,588.7241105847784,walksize=0.05; no_improve=5; iterations=100000,2000
