pnpoly_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.9708914762620775,0.04169200092252409,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.9821237983431136,0.014335447047981145,0.02,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9901197794903985,0.007899736032044271,0.02,74.89,1.1,iterations=10000,75
RandomGreedyMLS,0.9919435723267047,0.006984038943448372,0.06,99.08,5.633019535818165,iterations=10000,100
RandomGreedyMLS,0.994735884376133,0.005808390820092581,0.1,144.74,18.90359380080567,iterations=10000,150
RandomGreedyMLS,0.9956291365888289,0.005136301273182305,0.14,191.04,27.70804499736056,iterations=10000,200
RandomGreedyMLS,0.9987528120325584,0.0020534521221933907,0.32,342.51,106.88561761305986,iterations=10000,400
RandomGreedyMLS,0.9992434129844046,0.001447978887483209,0.5,481.77,164.6569040781651,iterations=10000,600
RandomGreedyMLS,0.9994451159108758,0.0006298976472787027,0.55,618.72,237.57011001326993,iterations=10000,800
RandomGreedyMLS,0.9995533604483864,0.0005793443560043601,0.61,672.8,332.52474655385737,iterations=10000,1000
RandomGreedyMLS,0.9999604887568677,0.00019867769741803093,0.96,830.31,529.8071250917449,iterations=10000,2000
