pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.8783064863169451,0.12845539359474467,0.05,25,0.0,iterations=10000,25
RandomGreedyMLS,0.9334759083841279,0.09463103534292015,0.2,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9747616592651193,0.06024100228593308,0.44,74.25,2.7131367660166177,iterations=10000,75
RandomGreedyMLS,0.9892638376815055,0.033854138956644714,0.73,93.9,9.670845491747478,iterations=10000,100
RandomGreedyMLS,0.9986038916892207,0.00703310697571332,0.93,110.55,25.414691925273573,iterations=10000,150
RandomGreedyMLS,0.9995491157964483,0.004508842035516914,0.99,108.93,35.21514108471187,iterations=10000,200
RandomGreedyMLS,1.0,0.0,1.0,116.85,39.983929852687645,iterations=10000,400
RandomGreedyMLS,1.0,0.0,1.0,117.05,46.97353112405567,iterations=10000,600
RandomGreedyMLS,1.0,0.0,1.0,115.88,43.60619917007909,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,114.32,43.405739042414446,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,114.24,41.14967015099092,iterations=10000,2000
