pnpoly_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.856394532018924,0.12303187023743223,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.9441708969953333,0.08646045792196641,0.27,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9653427819467925,0.07926235930985895,0.45,74.33,2.215897565367592,iterations=10000,75
RandomGreedyMLS,0.9786350736983391,0.04109681365860531,0.66,93.21,11.906449317640224,iterations=10000,100
RandomGreedyMLS,0.9956813501740897,0.01410940965790371,0.88,108.84,29.213501790587976,iterations=10000,150
RandomGreedyMLS,0.9966416471365156,0.012631470242203353,0.91,123.85,42.22842524875749,iterations=10000,200
RandomGreedyMLS,1.0,0.0,1.0,115.07,43.79595825639576,iterations=10000,400
RandomGreedyMLS,1.0,0.0,1.0,123.08,52.6767692650377,iterations=10000,600
RandomGreedyMLS,1.0,0.0,1.0,119.53,48.1009995906131,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,121.05,49.7986602797361,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,119.01,47.294584010938046,iterations=10000,2000
