pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.9462243539296221,0.06890024358361022,0.01,25,0.0,iterations=10000,25
RandomGreedyMLS,0.9665320482110981,0.05061292896984081,0.04,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9872110258003399,0.010664100716950514,0.07,74.35,3.79626344734084,iterations=10000,75
RandomGreedyMLS,0.9869712200210835,0.01032457262629394,0.07,99.16,5.192691056094172,iterations=10000,100
RandomGreedyMLS,0.9910149849479526,0.006545670790862639,0.15,144.7,16.688167949027523,iterations=10000,150
RandomGreedyMLS,0.9925830862367889,0.005433239740939041,0.14,193.01,22.705178958007608,iterations=10000,200
RandomGreedyMLS,0.9958615283420987,0.004903043408083266,0.44,328.76,104.90718552967463,iterations=10000,400
RandomGreedyMLS,0.9978064471682062,0.0035847148004721744,0.57,456.81,174.4515616832861,iterations=10000,600
RandomGreedyMLS,0.9995024510195935,0.0016963452147906177,0.82,470.35,249.51837951776562,iterations=10000,800
RandomGreedyMLS,0.999451049087255,0.0018785826379921367,0.86,566.42,292.9532378997706,iterations=10000,1000
RandomGreedyMLS,1.0,0.0,1.0,610.13,388.2624244013579,iterations=10000,2000
