pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.876297676475277,0.06427375673218019,0.0,25,0.0,NA,25
Random sampling,0.9116107999966119,0.04555028237577445,0.0,50,0.0,NA,50
Random sampling,0.926546255707386,0.035132622544130195,0.01,75,0.0,NA,75
Random sampling,0.9295655595860504,0.03669767949707276,0.0,100,0.0,NA,100
Random sampling,0.9498504089379177,0.026969416605536485,0.05,150,0.0,NA,150
Random sampling,0.9543799081916329,0.023762470364513084,0.02,200,0.0,NA,200
Random sampling,0.9688291196376745,0.01841264329575197,0.07,400,0.0,NA,400
Random sampling,0.9720391430104707,0.016562470587131492,0.03,600,0.0,NA,600
Random sampling,0.9794998312169496,0.013045198170638558,0.09,800,0.0,NA,800
Random sampling,0.9826985876018726,0.01346239506055791,0.14,1000,0.0,NA,1000
Random sampling,0.9906192799978009,0.00975023323414013,0.24,2000,0.0,NA,2000
