pnpoly_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.854591147175622,0.07081887889202203,0.01,25,0.0,NA,25
Random sampling,0.8794628633628727,0.05589737792041975,0.0,50,0.0,NA,50
Random sampling,0.8951633299001955,0.045893892926103,0.02,75,0.0,NA,75
Random sampling,0.903161729662121,0.048543740834831706,0.02,100,0.0,NA,100
Random sampling,0.9326278746323938,0.04022977174695621,0.02,150,0.0,NA,150
Random sampling,0.9343708846076092,0.03736758297161332,0.01,200,0.0,NA,200
Random sampling,0.963436636860928,0.0276374155071331,0.1,400,0.0,NA,400
Random sampling,0.9724589203949943,0.024187968636922973,0.12,600,0.0,NA,600
Random sampling,0.9748219548699366,0.02154515082667882,0.13,800,0.0,NA,800
Random sampling,0.9802587540012463,0.015049986027538658,0.07,1000,0.0,NA,1000
Random sampling,0.9882306149407152,0.0065345480512320414,0.18,2000,0.0,NA,2000
