pnpoly_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.9941557763086061,0.004547077131105568,0.01,25,0.0,NA,25
Random sampling,0.9957930165805586,0.0026017415769429425,0.0,50,0.0,NA,50
Random sampling,0.9972312052826003,0.0012843073802762226,0.0,75,0.0,NA,75
Random sampling,0.997579716854323,0.0015218601782585035,0.0,100,0.0,NA,100
Random sampling,0.9979399600997649,0.0009364994732650863,0.01,150,0.0,NA,150
Random sampling,0.9984863971949467,0.0010880077049874013,0.05,200,0.0,NA,200
Random sampling,0.9989568243090565,0.0006434567123225713,0.05,400,0.0,NA,400
Random sampling,0.9991950627645454,0.0005490123377085886,0.08,600,0.0,NA,600
Random sampling,0.9992783919115666,0.0004766690719603962,0.11,800,0.0,NA,800
Random sampling,0.9994283867211298,0.0004358648440576228,0.13,1000,0.0,NA,1000
Random sampling,0.9996715180143658,0.0003776771735082726,0.26,2000,0.0,NA,2000
